year_month,Parmesan,Soft Continental Cheese
2012-02,23.443675393162394,8.063349374641149
2012-03,23.25113653030303,8.176036094594595
2012-04,23.175590677165356,8.352321402678571
2012-05,23.22141740944882,8.275246613452914
2012-06,23.282325674418605,8.487565216086956
2012-07,23.34888008,8.404669615418502
2012-08,23.620465178294573,8.172467520779222
2012-09,23.728818952755905,8.162850837280702
2012-10,24.128333403508773,8.12649997090909
2012-11,24.14191312173913,8.110871527064221
2012-12,24.022460388888888,8.10771682739726
2013-01,23.78944885826772,8.037264575336323
2013-02,23.6171094453125,8.461843588268158
2013-03,23.696259610687022,8.449067392746114
2013-04,23.720155054263564,8.355948734871795
2013-05,23.774491533898303,8.201590942045454
2013-06,23.683813576271184,8.106284438073395
2013-07,23.328448284482757,7.923538530256411
2013-08,23.144956626086955,8.59049182568306
2013-09,23.538503976377953,8.646267980382776
2013-10,22.561111031746034,8.436051311794872
2013-11,23.55811478688525,9.020990125742575
2013-12,23.693278713114754,9.312511264573992
2014-01,23.932258112903227,9.303047696666667
2014-02,24.255042058823527,9.104687574107142
2014-03,23.881904753968254,9.107200078222224
2014-04,24.053228275590552,8.94379488
2014-05,23.939612317829457,8.544753391928252
2014-06,24.011550333333336,8.64036867235023
2014-07,23.102283417322834,8.987722823267326
2014-08,23.36351141221374,8.9073000535
2014-09,23.18629027419355,9.062641547169811
2014-10,23.065905496062992,8.652163450961538
2014-11,23.78672268067227,8.765539206862746
2014-12,23.61778624427481,8.7621466
2015-01,23.7849218515625,9.054454555454544
2015-02,23.57188523770492,8.816944461574074
2015-03,23.37475793548387,9.080884969911505
2015-04,23.115454356060607,8.921091673362445
2015-05,23.113656529850747,8.903839258035715
2015-06,22.712575575757576,8.595669631696428
2015-07,22.57255620300752,9.121313580508474
2015-08,22.56686112408759,8.609181053879311
2015-09,22.612556210526314,8.519192852466368
2015-10,22.402769,8.592555086784142
2015-11,21.964838564516132,8.476233209865471
2015-12,22.079999885496182,8.384035921076233
2016-01,22.055908984848486,8.958867991981132
2016-02,21.77768647761194,8.57004791818182
2016-03,21.46118508148148,8.86591309521739
2016-04,21.76330923741007,8.556968343891402
2016-05,21.40078004255319,8.749148945531916
2016-06,21.467226182481753,8.45675676846847
2016-07,21.738823419117647,8.568847976958525
2016-08,21.797925822222222,8.823013712785388
2016-09,21.567357035714284,8.576651397247707
2016-10,21.61926995620438,8.181914918723404
2016-11,21.107443511278195,8.401363661818182
2016-12,21.413515484375,8.522038879126214
2017-01,21.227121068181816,8.988136412727274
2017-02,20.58992296846154,8.764663549038461
2017-03,20.75065682481752,9.005753501826485
2017-04,20.51602826241135,8.816486545045045
2017-05,20.61205870588235,8.714463568669528
2017-06,20.355075651515154,8.66210306051502
2017-07,20.282698325396822,8.885550740969164
2017-08,20.14552230597015,8.888706950000001
2017-09,20.065338255639098,9.099217442173913
2017-10,20.062073985185187,8.702787601769911
2017-11,19.968636287878788,8.607432456306306
2017-12,20.244962866666665,8.39951326460177
2018-01,20.278308727941177,9.067892393721973
2018-02,20.325984742424243,8.842995406451614
2018-03,20.31323297744361,8.883480222026432
2018-04,20.575539460431653,9.10740262164502
2018-05,20.555766328467154,8.859224122413794
2018-06,20.265072369565218,8.87607141607143
2018-07,20.386014398550724,8.984629606481482
2018-08,20.456277328467152,8.87331801843318
2018-09,20.415140809859153,8.974093036744186
2018-10,20.743928542857144,8.974732157142856
2018-11,20.60195802097902,8.686444441777779
2018-12,20.456595723404256,8.874158844392523
2019-01,20.61668960689655,9.030829246829269
2019-02,20.556186999999998,8.953415836633663
2019-03,20.457272678321676,9.189818173636363
2019-04,20.681843929078013,8.90174670349345
2019-05,20.832755850393703,8.725793968669528
2019-06,20.785891434108528,8.62631816
2019-07,21.11713273986014,8.768073383944955
2019-08,20.950428442857145,8.913073587878788
2019-09,21.0145713,8.854094819396552
2019-10,21.134725902739728,8.51316238076923
2019-11,20.98842845714286,8.54731277048458
2019-12,21.11496392086331,8.526622206666666
2020-01,20.945373014925373,8.910448417488789
2020-02,21.044108472868217,8.674594573873874
2020-03,20.80047612698413,8.286794220095695
2020-04,19.721249925000002,8.42745451090909
2020-05,20.02989578125,8.678681304945055
2020-06,19.78083327777778,8.137604138541667
2020-07,19.665135081081083,8.301224459693877
2020-08,20.41091596946565,8.503755635294118
2020-09,20.431278210526315,8.497720909767441
2020-10,19.58856062121212,8.498116586098655
2020-11,19.26920459090909,8.078850551724138
2020-12,19.211022772727272,8.482701118965517
2021-01,18.945555583333334,8.718265288265306
2021-02,19.29866064285714,8.72708735631068
2021-03,20.448879944,8.605167442583733
2021-04,20.5429686875,8.663286375117371
2021-05,19.92211765882353,9.000546435519125
2021-06,19.371399996,8.4922499755
2021-07,19.404838712903228,8.247999984
2021-08,19.543015874603174,8.637379913100435
2021-09,19.449618338931298,8.689537022222222
2021-10,19.634586484210526,8.548194433333334
2021-11,19.998257503030302,8.294753356053812
2021-12,20.247851783703705,8.923962241981132
2022-01,20.19875905547445,8.946306284684685
2022-02,20.35305336335878,8.781767406511628
2022-03,20.516739049275362,9.01614032236842
2022-04,20.550507179710145,9.040301719396552
2022-05,20.480496473758866,9.221702128510639
2022-06,20.298071434285717,9.364608692608694
2022-07,20.535248225531916,9.808977774222221
2022-08,20.902919693430658,10.32215243721973
2022-09,21.226090210526316,10.496860940358744
2022-10,21.676102880882354,11.076108566515837
2022-11,22.011923106153848,11.326804085051545
2022-12,22.04894742105263,11.285207366820277
2023-01,22.184275420289854,12.234178400938967
2023-02,22.082539769841272,11.726119368159205
2023-03,22.08742433333333,11.833282774747476
2023-04,22.186428678571428,11.823815767105264
2023-05,22.20130443478261,12.22245609868421
2023-06,22.187647154411763,11.73299537419355
2023-07,22.305211330985916,11.957305907305935
2023-08,22.03661769852941,12.203652131304349
2023-09,22.450859421875002,11.816902641150442
2023-10,21.74175576335878,12.095324027777778
2023-11,21.506969719696972,11.911981555760368
2023-12,21.005671671641792,11.992173866956522
2024-01,21.620225586466166,12.364545393073593
2024-02,21.140078171875,11.783721914798207
2024-03,20.552384753846155,11.902532125321889
2024-04,21.041748279720277,11.985148874042553
2024-05,21.260292,11.801336142241379
2024-06,21.480367669117648,12.118173851304348
2024-07,21.486330956834532,12.075670964935066
2024-08,21.674545468531466,11.865675617567566
2024-09,21.62398552173913,12.325367907792208
